법정동시도코드,시도명,법정동시군구코드,시군구명,시간코드,전체_카드,교통,백화점,소형유통,숙박,스포츠외,여행,요식,의료,주유,주차장,편의점,할인점외
27,대구,200,남구,51,6921,2648,1099,2364,220,740,55,6540,293,1461,429,2993,2964
44,충남,210,서산시,52,2855,857,337,1298,144,473,15,3146,125,939,268,1438,1210
50,제주,110,제주시,54,4496,1844,418,1836,345,736,396,4928,208,1141,486,2247,1984
47,경북,210,영주시,53,3633,1347,323,1550,132,404,13,3482,153,979,252,1656,1601
46,전남,820,해남군,55,279,92,34,114,0,34,0,273,9,93,17,115,88
50,제주,130,서귀포시,55,558,193,50,231,35,92,33,614,16,166,61,280,259
26,부산,530,사상구,52,6870,2848,950,2305,249,792,214,6298,381,1355,582,2736,3088
41,경기,220,평택시,55,18784,7392,2903,7665,739,2640,183,19856,904,5152,1492,9476,7939
44,충남,230,논산시,53,7105,2352,726,2852,209,935,51,6104,347,1910,352,2792,2966
41,경기,590,화성시,53,52954,15797,7714,20361,2395,8648,524,55998,2091,15460,5819,24636,23291
43,충북,130,충주시,53,6964,3023,628,2795,287,1013,47,7516,266,1971,487,3457,3165
46,전남,820,해남군,54,797,200,86,324,31,62,0,671,46,236,40,295,262
41,경기,463,용인시 기흥구,52,17938,5467,3452,7405,866,3317,183,19740,931,4749,2027,8410,8084
48,경남,840,남해군,51,214,59,21,87,6,20,0,228,7,54,22,100,88
41,경기,281,고양시 덕양구,55,9968,3206,1315,4338,498,1653,162,11399,561,2624,1132,4939,4392
41,경기,111,수원시 장안구,54,19921,6413,3686,7778,782,3048,212,21336,813,4629,2113,8776,9144
41,경기,370,오산시,52,9033,2790,1261,3455,349,1392,93,9542,361,2568,918,4340,4118
44,충남,770,서천군,53,1592,443,219,654,59,162,10,1357,66,397,82,577,562
11,서울,410,서대문구,51,29687,9816,4573,11978,1528,4800,510,35185,1587,5253,2617,14885,13255
42,강원,110,춘천시,52,36764,15766,2960,15816,1674,6114,387,41076,1968,10282,2387,17690,17810
41,경기,115,수원시 팔달구,52,15840,6270,3451,6035,640,2243,157,17148,646,3324,1663,7556,6959
11,서울,530,구로구,54,40400,12698,7432,16383,1740,6018,612,47116,1866,7078,3221,20063,19157
42,강원,820,고성군,51,176,34,11,81,8,24,0,181,0,46,13,96,75
26,부산,260,동래구,52,12749,4543,1921,4009,572,1767,365,11716,672,2624,1291,4746,5816
41,경기,115,수원시 팔달구,51,12937,5154,2766,5015,553,1870,132,14020,508,2880,1350,6207,5709
48,경남,840,남해군,53,366,130,44,145,17,48,0,360,9,89,34,172,148
48,경남,250,김해시,51,16243,3924,2073,5963,608,2318,521,16082,1059,5045,1396,6822,7472
46,전남,130,여수시,55,4004,1823,424,1693,205,649,65,4009,221,1205,457,1806,1692
43,충북,720,보은군,52,355,102,36,142,8,40,0,322,14,116,20,150,136
45,전북,180,정읍시,51,3082,1103,228,1197,96,306,9,2560,143,791,150,1013,1127
48,경남,740,창녕군,52,534,163,68,170,9,49,8,505,12,166,37,225,225
26,부산,530,사상구,55,2775,1291,414,927,113,336,92,2721,150,556,233,1214,1272
47,경북,730,의성군,55,180,50,15,66,0,0,0,159,6,46,16,71,78
44,충남,770,서천군,52,1214,326,172,485,47,118,7,1020,47,300,61,446,416
42,강원,800,양구군,51,397,128,33,168,0,63,0,430,11,118,22,198,165
47,경북,940,울릉군,54,300,129,20,107,0,7,0,222,10,78,6,136,95
26,부산,320,북구,52,13539,4623,1561,4572,502,1524,389,12517,798,2800,1234,5239,6003
28,인천,710,강화군,53,843,196,84,344,26,117,0,844,42,229,93,382,335
41,경기,550,안성시,51,3727,1136,408,1607,139,509,20,3549,210,1085,295,1752,1647
43,충북,745,증평군,54,1563,667,174,721,70,268,0,1691,46,485,128,775,658
30,대전,140,중구,55,11201,4533,1746,3802,378,1344,96,9901,418,2449,825,4412,4498
26,부산,200,영도구,53,5516,2369,957,1674,210,473,117,4855,339,1056,469,2241,2443
28,인천,720,옹진군,52,248,72,24,99,19,19,0,231,6,71,21,132,105
42,강원,820,고성군,55,87,13,8,30,0,8,0,84,0,26,0,40,27
47,경북,190,구미시,54,38825,14237,3903,14931,1343,4722,285,37736,1742,11474,2271,16858,17594
41,경기,590,화성시,54,39827,12679,5907,15340,1800,6468,408,42571,1569,11475,4475,18728,17525
11,서울,500,강서구,52,58636,18995,9899,24829,2878,9414,1421,70477,3146,11073,5196,30003,28105
48,경남,730,함안군,53,1192,302,140,440,41,132,11,1083,49,381,94,509,470
31,울산,710,울주군,55,5287,1906,666,1981,236,693,229,5274,282,1685,472,2344,2276
11,서울,530,구로구,53,51972,15636,9396,20863,2247,7733,730,59908,2479,9245,4193,25504,24772
42,강원,750,영월군,54,1010,395,93,404,43,118,10,1012,61,231,46,448,395
48,경남,129,창원시 진해구,54,7999,2445,972,3095,388,1299,171,8216,509,2774,812,3691,3651
48,경남,170,진주시,54,6103,2443,968,2356,321,837,105,6377,365,1760,497,2733,2811
43,충북,730,옥천군,51,1769,575,153,657,47,168,7,1423,104,472,158,629,662
44,충남,760,부여군,53,1362,450,181,514,46,136,0,1121,63,370,62,533,464
43,충북,112,청주시 서원구,54,9773,4267,1405,4201,408,1577,94,10831,512,2670,982,4545,4544
26,부산,320,북구,53,18159,6177,2009,6144,683,2048,521,16712,1076,3977,1679,6989,8106
11,서울,215,광진구,55,6962,2964,1295,2741,342,1198,110,8613,258,936,525,3903,3148
44,충남,133,천안시 서북구,52,42006,17047,4637,16743,1669,6129,352,40635,1512,11443,2818,18077,17666
