자원번호,자원명,분류
9272,Microtetraspora glauca,Bacteria
9274,Nonomuraea helvata,Bacteria
9276,Microtetraspora niveoalba,Bacteria
9278,Nonomurea pusilla,Bacteria
9282,Nonomuraea roseola,Bacteria
9283,Nonomuraea roseoviolacea,Bacteria
9285,Nonomuraea salmonea,Bacteria
9286,Nonomurea spiralis,Bacteria
9287,Nonomurea turkmeniaca,Bacteria
9299,Prauserella rugosa,Bacteria
9304,Microbispora amethystogenes,Bacteria
9305,Thermobispora bispora,Bacteria
9307,Thermobispora bispora,Bacteria
9313,Actinomadura echinospora,Bacteria
9326,Microbispora rosea subsp. rosea,Bacteria
9335,Herbidospora cretacea,Bacteria
9339,Actinomadura fulvescens,Bacteria
9340,Actinocorallia libanotica,Bacteria
9342,Actinomadura macra,Bacteria
9343,Actinomadura umbrina,Bacteria
9345,Actinoplanes brasiliensis,Bacteria
9346,Actinoplanes durhamensis,Bacteria
9348,Actinoplanes lobatus,Bacteria
9351,Actinopolyspora mortivallis,Bacteria
9352,Catellatospora citrea subsp. citrea,Bacteria
9353,Catellatospora ferruginea,Bacteria
9354,Micromonospora matsumotoense,Bacteria
9355,Catellatospora tsunoense,Bacteria
9356,Dactylosporangium fulvum,Bacteria
9357,Dactylosporangium roseum,Bacteria
9358,Dactylosporangium thailandense,Bacteria
9359,Dactylosporangium vinaceum,Bacteria
9360,Geodermatophilus obscurus subsp. amargosae,Bacteria
9361,Geodermatophilus obscurus subsp. utahensis,Bacteria
9362,Glycomyces harbinensis,Bacteria
9363,Kibdelosporangium aridum subsp. largum,Bacteria
9365,Micromonospora brunnescens,Bacteria
9367,Micromonospora citrea,Bacteria
9368,Micromonospora coerulea,Bacteria
9369,Micromonospora purpureochromogenes,Bacteria
9370,Nocardia brevicatena,Bacteria
9371,Nocardia flavorosea,Bacteria
9372,Nocardia salmonicida,Bacteria
9388,Saccharothrix australiensis,Bacteria
9389,Saccharothrix coeruleofusca,Bacteria
9390,Saccharothrix coeruleoviolacea,Bacteria
9391,Crossiella cryophia,Bacteria
9392,Saccharothrix espanaensis,Bacteria
9393,Lechevalieria flava,Bacteria
9394,Saccharothrix longispora,Bacteria
9395,Saccharothrix mutabilis subsp. capreolus,Bacteria
9396,Saccharothrix mutabilis subsp. mutabilis,Bacteria
9397,Saccharothrix mutabilis subsp. mutabilis,Bacteria
9398,Saccharothrix syringae,Bacteria
9400,Lentzea waywayandensis,Bacteria
9412,Amycolatopsis orientalis subsp. orientalis,Bacteria
9425,Amycolatopsis lurida,Bacteria
9427,Prauserella rugosa,Bacteria
9428,Amycolatopsis sulphurea,Bacteria
9429,Streptosporangium album,Bacteria
9430,Streptosporangium amethystogenessubsp. amethystogenes,Bacteria
9431,Streptosporangium corrugatum,Bacteria
9432,Streptosporangium fragile,Bacteria
9434,Streptosporangium nondiastaticum,Bacteria
9435,Sphaerisporangium viridialbum,Bacteria
9436,Kutzneria viridogrisea,Bacteria
9437,Kutzneria kofuensis,Bacteria
9472,Planobispora longispora,Bacteria
9474,Planomonospora venezuelensis,Bacteria
9478,Saccharomonospora cyanea,Bacteria
9479,Saccharomonospora glauca,Bacteria
9480,Saccharomonospora viridis,Bacteria
9482,Saccharopolyspora taberi,Bacteria
9484,Saccharopolyspora hirsuta subsp. kobensis,Bacteria
9485,Saccharopolyspora hordei,Bacteria
9488,Spirillospora albida,Bacteria
9496,Actinoplanes penicillatus,Bacteria
9498,Actinosynnema pretiosum subsp. auranticum,Bacteria
9499,Actinosynnema pretiosum subsp. pretiosum,Bacteria
9502,Mycobacterium agri,Bacteria
9503,Mycobacterium asiaticum,Bacteria
9504,Mycobacterium austroafricanum,Bacteria
9505,Mycobacterium chelonae subsp. chelonae,Bacteria
9506,Mycobacterium diernhoferi,Bacteria
9508,Mycobacterium fallax,Bacteria
9510,Mycobacterium fortuitum subsp. fortuitum,Bacteria
9513,Mycobacterium gordonae,Bacteria
9514,Mycobacterium intracellulare,Bacteria
9516,Mycobacterium moriokaense,Bacteria
9517,Mycobacterium porcinum,Bacteria
9518,Mycobacterium pulveris,Bacteria
9520,Mycobacterium szulgai,Bacteria
9529,Cryptosporangium aurantiacum,Bacteria
9531,Couchioplanes caeruleus subsp. caeruleus,Bacteria
9532,Actinoplanes deccanensis,Bacteria
9534,Actinoplanes italicus,Bacteria
9535,Actinoplanes kinshanensis,Bacteria
9536,Actinoplanes liguriensis,Bacteria
9537,Actinoplanes pallidoaurantiacus,Bacteria
9540,Actinoplanes rectilineatus,Bacteria
9541,Actinoplanes roseosporangius,Bacteria
9542,Actinoplanes rutilosporangius,Bacteria
9543,Actinoplanes teichomyceticus,Bacteria
9546,Dactylosporangium matsuzakiense,Bacteria
9547,Micromonospora carbonacea,Bacteria
9548,Micromonospora echinobrunnea,Bacteria
9550,Micromonospora fulvopurpurea,Bacteria
9551,Micromonospora halophytica,Bacteria
2711,Listonella anguillarum,Bacteria
2716,Vibrio campbellii,Bacteria
2729,Vibrio parahaemolyticus,Bacteria
2731,Vibrio furnissii,Bacteria
2732,Listonella pelagia,Bacteria
2733,Vibrio cincinnatiensis,Bacteria
2734,Photobacterium damselae subsp. damselae,Bacteria
2777,Frateuria aurantia,Bacteria
2804,Gluconacetobacter diazotrophicus,Bacteria
2813,Sphingopyxis macrogoltabida,Bacteria
2815,Sphingomonas parapaucimobilis,Bacteria
2818,Sphingobium yanoikuyae,Bacteria
2824,Sphingomonas pruni,Bacteria
2825,Sphingomonas asaccharolytica,Bacteria
2843,Marinococcus halophilus,Bacteria
2844,Pseudaminobacter defluvii,Bacteria
2845,Starkeya novella,Bacteria
2846,Paracoccus versutus,Bacteria
2857,Methylophaga marina,Bacteria
2861,Methylophaga thalassica,Bacteria
2864,Sphingobium abikonense,Bacteria
2872,Pseudomonas oleovorans subsp. oleovorans,Bacteria
2881,Sphingomonas aquatilis,Bacteria
2882,Sphingomonas koreensis,Bacteria
2884,Sphingopyxis taejonensis,Bacteria
2886,Blastomonas natatoria,Bacteria
2888,Novosphingobium aromaticivorans,Bacteria
2889,Novosphingobium subterraneum,Bacteria
2890,Novosphingobium resinovorum,Bacteria
2891,Novosphingobium stygium,Bacteria
2897,Chromobacterium violaceum,Bacteria
2898,Janthinobacterium lividum,Bacteria
2906,Elizabethkingia meningoseptica,Bacteria
2909,Terrimonas ferruginea,Bacteria
3537,Leuconostoc fallax,Bacteria
3538,Paenibacillus macquariensis subsp. macquariensis,Bacteria
3539,Virgibacillus pantothenticus,Bacteria
3542,Latilactobacillus graminis,Bacteria
3543,Fructilactobacillus fructivorans,Bacteria
3544,Fructobacillus fructosus,Bacteria
3545,Lactobacillus helveticus,Bacteria
3546,Ligilactobacillus murinus,Bacteria
3548,Secundilactobacillus malefermentans,Bacteria
3558,Sporosarcina pasteurii,Bacteria
3564,Geobacillus pallidus,Bacteria
3566,Salimicrobium halophilum,Bacteria
3568,Paenibacillus chondroitinus,Bacteria
3570,Geobacillus thermoleovorans,Bacteria
3572,Sutcliffiella cohnii,Bacteria
3573,Brevibacillus agri,Bacteria
3574,Staphylococcus ureilyticus,Bacteria
3575,Brevibacillus thermoruber,Bacteria
3576,Staphylococcus muscae,Bacteria
3577,Mammaliicoccus lentus,Bacteria
3579,Staphylococcus chromogenes,Bacteria
3580,Staphylococcus carnosus subsp. carnosus,Bacteria
3583,Staphylococcus caprae,Bacteria
3584,Staphylococcus auricularis,Bacteria
3585,Staphylococcus gallinarum,Bacteria
3587,Listeria welshimeri,Bacteria
3588,Staphylococcus arlettae,Bacteria
3589,Staphylococcus equorum subsp. equorum,Bacteria
3590,Staphylococcus kloosii,Bacteria
3591,Listeria seeligeri,Bacteria
3592,Staphylococcus delphini,Bacteria
3593,Companilactobacillus alimentarius,Bacteria
3594,Limosilactobacillus reuteri subsp. reuteri,Bacteria
3595,Weissella halotolerans,Bacteria
3596,Liquorilactobacillus mali,Bacteria
3597,Lactobacillus amylovorus,Bacteria
3602,Carnobacterium maltaromaticum,Bacteria
3603,Latilactobacillus sakei subsp. sakei,Bacteria
3604,Weissella minor,Bacteria
3606,Ligilactobacillus agilis,Bacteria
3608,Paucilactobacillus vaccinostercus,Bacteria
3610,Weissella kandleri,Bacteria
3611,Lentilactobacillus kefiri,Bacteria
3612,Oenococcus oeni,Bacteria
3616,Enterococcus hirae,Bacteria
3618,Bacillus smithii,Bacteria
3619,Lactococcus cremoris subsp. cremoris,Bacteria
3623,Paenibacillus alvei,Bacteria
3624,Bacillus cereus,Bacteria
3625,Weizmannia coagulans,Bacteria
3626,Cytobacillus firmus,Bacteria
3627,Paenibacillus polymyxa,Bacteria
3630,Enterococcus mundtii,Bacteria
3635,Lactobacillus delbrueckii subsp. bulgaricus,Bacteria
3636,Lactobacillus delbrueckii subsp. lactis,Bacteria
3637,Streptococcus ferus,Bacteria
3638,Enterococcus casseliflavus,Bacteria
3639,Lactococcus piscium,Bacteria
3641,Enterococcus malodoratus,Bacteria
3642,Enterococcus cecorum,Bacteria
3643,Enterococcus saccharolyticus subsp. saccharolyticus,Bacteria
3644,Streptococcus alactolyticus,Bacteria
3650,Streptococcus vestibularis,Bacteria
3651,Streptococcus parauberis,Bacteria
3652,Leuconostoc pseudomesenteroides,Bacteria
3653,Pediococcus inopinatus,Bacteria
3654,Aerococcus urinaeequi,Bacteria
3655,Streptococcus ratti,Bacteria
3656,Faecalicoccus pleomorphus,Bacteria
3657,Streptococcus iniae,Bacteria
3659,Streptococcus macacae,Bacteria
3660,Streptococcus hyointestinalis,Bacteria
3666,Laceyella putida,Bacteria
3667,Thermoflavimicrobium dichotomicum,Bacteria
3668,Weissella hellenica,Bacteria
3670,Limosilactobacillus oris,Bacteria
3672,Planococcus okeanokoites,Bacteria
9569,Actinokineospora diospyrosa,Bacteria
9570,Actinokineospora globicatena,Bacteria
9571,Actinokineospora inagensis,Bacteria
9572,Actinokineospora terrae,Bacteria
9574,Pseudonocardia autotrophica,Bacteria
9575,Nocardioides luteus,Bacteria
9576,Aeromicrobium fastidiosum,Bacteria
9577,Nocardioides plantarum,Bacteria
9588,Couchioplanes caeruleus subsp. azureus,Bacteria
9589,Actinoplanes campanulatus,Bacteria
9590,Actinoplanes cyaneus,Bacteria
9591,Actinoplanes globisporus,Bacteria
9592,Actinoplanes ianthinogenes,Bacteria
9593,Actinoplanes octamycinicus,Bacteria
9598,Actinoplanes capillaceus,Bacteria
9610,Nonomuraea dietziae,Bacteria
9616,Nocardiopsis alba subsp. alba,Bacteria
9617,Actinomadura citrea,Bacteria
9619,Pilimelia columellifera subsp. columellifera,Bacteria
9620,Actinomadura atramentaria,Bacteria
9623,Nocardioides sp.,Bacteria
9642,Cryptosporangium minutisporangium,Bacteria
9647,Actinomadura formosensis,Bacteria
9648,Corynebacterium vitaeruminis,Bacteria
9649,Tetrasphaera duodecadis,Bacteria
9652,Pilimelia anulata,Bacteria
9654,Glycomyces rutgersensis,Bacteria
